a bit	một chút, một tí
discuss (v) /dis'kΛs/	thảo luận, tranh luận
discussion (n) /dis'kʌʃn/	sự thảo luận, sự tranh luận
disease (n) /di'zi:z/	căn bệnh, bệnh tật
disgust (v) (n) /dis´gʌst/	làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusted (adj) /dis´gʌstid/	chán ghét, phẫn nộ
disgusting (adj) /dis´gʌstiη/	làm ghê tởm, kinh tởm
dish (n) /diʃ/	đĩa (đựng thức ăn)
dishonest (adj) /dis´ɔnist/	bất lương, không thành thật
dishonestly (adv) /dis'onistli/	bất lương, không lương thiện
disk (n) /disk/	đĩa, đĩa hát
dislike (v) (n) /dis'laik/	sự không ưa, không thích, sự ghét
dismiss (v) /dis'mis/	giải tán (quân đội, đám đông); sa thải (người làm)
display (v) (n) /dis'plei/	bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
dissolve (v) /dɪˈzɒlv/	tan rã, phân hủy, giải tán
distance (n) /'distəns/	khoảng cách, tầm xa
distinguish (v) /dis´tiηgwiʃ/	phân biệt, nhận ra, nghe ra
distribute (v) /dis'tribju:t/	phân bổ, phân phối, sắp xếp, phân loại
distribution (n) /,distri'bju:ʃn/	sự phân bổ, sự phân phối, phân phát, sự sắp xếp
district (n) /'distrikt/	huyện, quận
disturb (v) /dis´tə:b/	làm mất yên tĩnh, làm náo động, quấy rầy
disturbing (adj) /dis´tə:biη/	xáo trộn
divide (v) /di'vaid/	chia, chia ra, phân ra
division (n) /dɪ'vɪʒn/	sự chia, sự phân chia, sự phân loại
divorce (n) (v) /di´vɔ:s/	sự ly dị
divorced (adj) /di'vo:sd/	đã ly dị
do (v) auxiliary (v) /du:, du/	làm
doctor (n) (abbr. Dr, NAmE Dr.) /'dɔktə/	bác sĩ y khoa, tiến sĩ
document (n) /'dɒkjʊmənt/	văn kiện, tài liệu, tư liệu
dog (n) /dɔg/	chó
dollar (n) /´dɔlə/	đô la Mỹ
domestic (adj) /də'mestik/	vật nuôi trong nhà, (thuộc) nội trợ, quốc nội
dominate (v) /ˈdɒməˌneɪt/	chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
door (n) /dɔ:/	cửa, cửa ra vào
dot (n) /dɔt/	chấm nhỏ, điểm; của hồi môn
double (adj) (det.), (adv)., (n) (v) /'dʌbl/	đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt (n) (v) /daut/	sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down (adv)., (prep.) /daun/	xuống
downstairs (adv)., (adj) (n) /'daun'steзz/	ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downward (adj) /´daun¸wəd/	xuống, đi xuống
downwards (also downward especially in NAmE) (adv) /´daun¸wədz/	xuống, đi xuống
dozen (n)(det.) /dʌzn/	tá (12)
draft (n)(adj) (v) /dra:ft/	bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag (v) /drӕg/	lôi kéo, kéo lê
drama (n) /drɑː.mə/	kịch, tuồng
dramatic (adj) /drə´mætik/	như kịch, như đóng kịch, thích hợp với sân khấu
dramatically (adv) /drə'mætikəli/	đột ngột
draw (v) /dro:/	vẽ, kéo
drawer (n) /´drɔ:ə/	người vẽ, người kéo
drawing (n) /'dro:iŋ/	bản vẽ, bức vẽ, sự kéo
dream (n) (v) /dri:m/	giấc mơ, mơ
dress (n) (v) /dres/	quần áo, mặc (quần áo), ăn mặc
dressed (adj)	cách ăn mặc
drink (n) (v) /driɳk/	đồ uống; uống
drive (v) (n) /draiv/	lái , đua xe; cuộc đua xe (điều khiển)
driver (n) /draivә(r)/	người lái xe
driving (n) /'draiviɳ/	sự lái xe, cuộc đua xe
drop (v) (n) /drɒp/	chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
drug (n) /drʌg/	thuốc, dược phẩm; ma túy
drugstore (n) (NAmE) /'drʌgstɔ:/	hiệu thuốc, cửa hàng dược phẩm
drum (n) /drʌm/	cái trống, tiếng trống
drunk (adj) /drʌŋk/	say rượu
dry (adj) (v) /drai/	khô, cạn; làm khô, sấy khô
due (adj) /du, dyu/	đến kỳ hạn (trả nợ); xứng đáng, thích đáng
due to	vì, do, tại, nhờ có
dull (adj) /dʌl/	chậm hiểu, ngu đần
dump (v) (n) /dʌmp/	đổ rác; đống rác, nơi đổ rác
during (prep.) /'djuəriɳ/	trong lúc, trong thời gian
dust (n) (v) /dʌst/	bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi
duty (n) /'dju:ti/	sự tôn kính, kính trọng; bồn phận, trách nhiệm
DVD (n)	đĩa DVD
dying (adj) /ˈdaɪɪŋ/	sự chết
e.g. (abbr.)	Viết tắt của cụm từ La tinh exempli gratia (for example)
each (det., pronoun) /i:tʃ/	mỗi
each other	(also one another) (pronoun) nhau, lẫn nhau
each other	nhau, lẫn nhau
ear (n) /iə/	tai
early (adj) (adv) /´ə:li/	sớm
earn (v) /ə:n/	kiếm (tiền), giành (phần thưởng)
earth (n) /ə:θ/	đất, trái đất
ease (n) (v) /i:z/	sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
easily (adv) /'i:zili/	dễ dàng
east (n)(adj) (adv) /i:st/	hướng đông, phía đông, (thuộc) đông, ở phía đông
eastern (adj) /'i:stən/	đông
easy (adj) /'i:zi/	dễ dàng, dễ tính, ung dung
eat (v) /i:t/	ăn
economic (adj) /¸i:kə´nɔmik/	(thuộc) Kinh tế
economy (n) /ɪˈkɒnəmi/	sự tiết kiệm, sự quản lý kinh tế
edge (n) /edӡ/	lưỡi, cạnh sắc
edition (n) /i'diʃn/	nhà xuất bản, sự xuất bản
editor (n) /´editə/	người thu thập và xuất bản, chủ bút
educate (v) /'edju:keit/	giáo dục, cho ăn học; rèn luyện
educated (adj) /'edju:keitid/	được giáo dục, được đào tạo
education (n) /,edju:'keiʃn/	sự giáo dục, sự rèn luyện (kỹ năng)
effect (n) /i'fekt/	hiệu ứng, hiệu quả, kết quả
effective (adj) /'ifektiv/	có kết quả, có hiệu lực
effectively (adv) /i'fektivli/	có kết quả, có hiệu lực
efficient (adj) /i'fiʃənt/	có hiệu lực, có hiệu quả
efficiently (adv) /i'fiʃəntli/	có hiệu quả, hiệu nghiệm
effort (n) /´efə:t/	sự cố gắng, sự nỗ lực
egg (n) /eg/	trứng
either (det., (pronoun) (adv) /´aiðə/	mỗi, một; cũng phải thế
elbow (n) /elbou/	khuỷu tay
elderly (adj) /´eldəli/	có tuổi, cao tuổi
elect (v) /i´lekt/	bầu, quyết định
election (n) /i´lekʃən/	sự bầu cử, cuộc tuyển cử
electric (adj) /ɪˈlɛktrɪk/	(thuộc) điện, có điện, phát điện
electrical (adj) /i'lektrikəl/	(thuộc) điện
electricity (n) /ilek'trisiti/	điện, điện lực; điện lực học
electronic (adj) /ɪlɛkˈtrɒnɪk , ˌilɛkˈtrɒnɪk/	(thuộc) điện tử
elegant (adj) /´eligənt/	thanh lịch, tao nhã
element (n) /ˈɛləmənt/	yếu tôd, nguyên tố
elevator (n) (NAmE) /ˈɛləˌveɪtər/	máy nâng, thang máy
else (adv) /els/	khác, nữa; nếu không
elsewhere (adv) /¸els´wɛə/	ở một nơi nào khác
email (also e–mail) (n) (v) /'imeil/	thư điện tử; gửi thư điện tử
embarrass (v) /im´bærəs/	lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
embarrassed (adj) /im´bærəst/	lúng túng, bối rối, ngượng; mang nợ
embarrassing (adj) /im´bærəsiη/	làm lúng túng, ngăn trở
embarrassment (n) /im´bærəsmənt/	sự lúng túng, sự bối rối
emerge (v) /i´mə:dʒ/	nổi lên, hiện ra; nổi bật lên
emergency (n) /i'mз:dЗensi/	tình trạng khẩn cấp
emotion (n) /i'moƱʃ(ә)n/	xự xúc động, sự cảm động, mối xác cảm
emotional (adj) /i´mouʃənəl/	cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotionally (adv) /i´mouʃənəli/	xúc động
emphasis (n) /´emfəsis/	sự nhấn mạnh, tầm quan trọng
emphasize (BrE also –ise) (v) /ˈɛmfəˌsaɪz/	nhấn mạnh, làm nổi bật
empire (n) /'empaiə/	đế chế, đế quốc
employ (v) /im'plɔi/	dùng, thuê ai làm gì
employee (n) /¸emplɔi´i:/	người lao động, người làm công
employer (n) /em´plɔiə/	chủ, người sử dụng lao động
employment (n) /im'plɔimənt/	sự thuê mướn
empty (adj) (v) /'empti/	trống, rỗng; đổ, dốc; uống, làm cạn
enable (v) /i'neibl/	làm cho có thể, có khả năng; cho phép ai làm gì
encounter (v) (n) /in'kautә/	chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encourage (v) /in'kΔridЗ/	động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement (n) /in´kʌridʒmənt/	niềm cổ vũ, động viên, khuyến khích
end (n) (v) /end/	giới hạn, sự kết thúc; kết thúc, chấm dứt
ending (n) /´endiη/	sự kết thúc, sự chấm dứt; phần cuối, kết cục
enemy (n) /'enәmi/	kẻ thù, quân địch
energy (n) /ˈɛnərdʒi/	năng lượng, nghị lực, sinh lực
engage (v) /in'geidʤ/	hứa hẹn, cam kết, đính ước
engaged (adj) /in´geidʒd/	đã đính ước, đã hứa hôn; đã có người
engine (n) /en'ʤin/	máy, động cơ
engineer (n) /endʒi'niər/	kỹ sư
engineering (n) /,enʤɪ'nɪərɪŋ/	nghề kỹ sư, công việc của kỹ sư
enjoy (v) /in'dЗoi/	thưởng thức, thích thú cái gì, được hưởng, có được
enjoyable (adj) /in´dʒɔiəbl/	thú vị, thích thú
enjoyment (n) /in´dʒɔimənt/	sự thích thú, sự có được, được hưởng
enormous (adj) /i'nɔ:məs/	to lớn, khổng lồ
enough (det., pronoun) (adv) /i'nʌf/	đủ
enquiry (also inquiry especially in NAmE) (n) /in'kwaiәri/	sự điều tra, sự thẩm vấn
ensure (v) /ɛnˈʃʊər , ɛnˈʃɜr/	bảo đảm, chắc chắn
enter (v) /´entə/	đi vào, gia nhập
entertain (v) /,entə'tein/	giải trí, tiếp đón, chiêu đãi
entertainer (n) /¸entə´teinə/	người quản trò, người tiếp đãi, chiêu đãi
entertaining (adj) /,entə'teiniɳ/	giải trí
entertainment (n) /entə'teinm(ə)nt/	sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm (n) /ɛnˈθuziˌæzəm/	sự hăng hái, sự nhiệt tình
enthusiastic (adj) /ɛnˌθuziˈæstɪk/	hăng hái, say mê, nhiệt tình
entire (adj) /in'taiə/	toàn thể, toàn bộ
entirely (adv) /in´taiəli/	toàn vẹn, trọn vẹn, toàn bộ
entitle (v) /in'taitl/	cho tiêu đề, cho tên (sách); cho quyền làm gì
entrance (n) /'entrəns/	sự đi vào, sự nhậm chức
entry (n) /ˈɛntri/	sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)
envelope (n) /'enviloup/	phong bì
environment (n) /in'vaiərənmənt/	môi trường, hoàn cảnh xung quanh
environmental (adj) /in,vairən'mentl/	thuộc về môi trường
equal (adj) (n) (v) /´i:kwəl/	ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang
equally (adv) /'i:kwзli /	bằng nhau, ngang bằng
equipment (n) /i'kwipmənt/	trang, thiết bị
equivalent (adj) (n) /i´kwivələnt/	tương đương; từ, vật tương đương
error (n) /'erə/	lỗi, sự sai sót, sai lầm
escape (v) (n) /is'keip/	trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially (adv) /is'peʃəli/	đặc biệt là, nhất là
essay (n) /ˈɛseɪ/	bài tiểu luận
essential (adj) (n) /əˈsɛnʃəl/	bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentially (adv) /e¸senʃi´əli/	về bản chất, về cơ bản
establish (v) /ɪˈstæblɪʃ/	lập, thành lập
estate (n) /ɪˈsteɪt/	tài sản, di sản, bất động sản
estimate (n) (v) /'estimit – 'estimeit/	sự ước lượng, đánh giá; ước lượng, đánh giá
etc. (full form et cetera) /et setərə/	vân vân
euro (n) /´ju:rou/	đơn vị tiền tệ của liên minh châu Âu
even (adv)., (adj) /'i:vn/	ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng
evening (n) /'i:vniɳ/	buổi chiều, tối
event (n) /i'vent/	sự việc, sự kiện
eventually (adv) /i´ventjuəli/	cuối cùng
ever (adv) /'evә(r)/	từng, từ trước tới giờ
every (det.) /'evәri/	mỗi, mọi
everyone (also everybody)(pronoun) /´evri¸wʌn/	mọi người
everything (pronoun) /'evriθiɳ/	mọi vật, mọi thứ
everywhere (adv) /´evri¸weə/	mọi nơi
evidence (n) /'evidəns/	điều hiển nhiên, điều rõ ràng
evil (adj) (n) /'i:vl/	xấu, ác; điều xấu, điều ác, điều tai hại
ex– (prefix)	chỉ bên ngoài
exact (adj) /ig´zækt/	chính xác, đúng
exactly (adv) /ig´zæktli/	chính xác, đúng đắn
exaggerate (v) /ig´zædʒə¸reit/	cường điệu, phóng đại
exaggerated (adj) /ig'zædЗзreit/	cường điệu, phòng đại
exam (n) /ig´zæm/	viết tắt của Examination (xem nghĩa phía dưới)
examination /ig¸zæmi´neiʃən/	(n) sự thi cử, kỳ thi
examine (v) /ɪgˈzæmɪn/	thẩm tra, khám xét, hỏi han (thí sinh)
example (n) /ig´za:mp(ə)l/	thí dụ, ví dụ
excellent (adj) /ˈeksələnt/	xuất sắc, xuất chúng
except (prep.), (conj.) /ik'sept/	trừ ra, không kể; trừ phi
exception (n) /ik'sepʃn/	sự trừ ra, sự loại ra
exchange (v) (n) /iks´tʃeindʒ/	trao đổi; sự trao đổi
excite (v) /ik'sait/	kích thích, kích động
excited (adj) /ɪkˈsaɪtɪd/	bị kích thích, bị kích động
excitement (n) /ik´saitmənt/	sự kích thích, sự kích động
exciting (adj) /ik´saitiη/	hứng thú, thú vị
exclude (v) /iks´klu:d/	ngăn chạn, loại trừ
excluding (prep.) /iks´klu:diη/	ngoài ra, trừ ra
excuse (n) (v) /iks´kju:z/	lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi
executive (n) (adj) /ɪgˈzɛkyətɪv/	sự thi hành, chấp hành; (thuộc) sự thi hành, chấp hành
exercise (n) (v) /'eksəsaiz/	bài tập, sự thi hành, sự thực hiện; làm, thi hành, thực hiện
exhibit (v) (n) /ɪgˈzɪbɪt/	trưng bày, triển lãm; vật trưng bày, vật triển lãm
exhibition (n) /ˌɛksəˈbɪʃən/	cuộc triển lãm, trưng bày
exist (v) /ig'zist/	tồn tại, sống
existence (n) /ig'zistəns/	sự tồn tại, sự sống
exit (n) /´egzit/	lỗi ra, sự đi ra, thoát ra
expand (v) /iks'pænd/	mở rộng, phát triển, nở, giãn ra
expect (v) /ik'spekt/	chờ đợi, mong ngóng; liệu trước
expectation (n) /,ekspek'tei∫n/	sự mong chờ, sự chờ đợi
expected (adj) /iks´pektid/	được chờ đợi, được hy vọng
expense (n) /ɪkˈspɛns/	chi phí
expensive (adj) /iks'pensiv/	đắt
experience (n) (v) /iks'piəriəns/	kinh nghiệm; trải qua, nếm mùi
experienced (adj) /eks´piəriənst/	có kinh nghiệm, từng trải, giàu kinh nghiệm
experiment (n) (v) /(n) ɪkˈspɛrəmənt	(v) ɛkˈspɛrəˌmɛnt/; cuộc thí nghiệm; thí nghiệm
expert (n) (adj) /,ekspз'ti:z/	chuyên gia; chuyên môn, thành thạo
explain (v) /iks'plein/	giải nghĩa, giải thích
explanation (n) /,eksplə'neiʃn/	sự giải nghĩa, giải thích
explode (v) /iks'ploud/	đập tan (hy vọng...), làm nổ, nổ
explore (v) /iks´plɔ:/	thăm dò, thám hiểm
explosion (n) /iks'plouʤn/	sự nổ, sự phát triển ồ ạt
export (v) (n) /iks´pɔ:t/	xuất khẩu; hàng xuất khẩu, sự xuất khẩu
expose (v) /ɪkˈspoʊz/	trưng bày, phơi bày
express (v) (adj) /iks'pres/	diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
expression (n) /iks'preʃn/	sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extend (v) /iks'tend/	giơ, duỗi ra (tay, châ(n).); kéo dài (thời gia(n).), dành cho, gửi lời
extension (n) /ɪkstent ʃən/	sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
extensive (adj) /iks´tensiv/	rộng rãi, bao quát
extent (n) v /ɪkˈstɛnt/	quy mô, phạm vi
extra (adj) (n) (adv) /'ekstrə/	thêm, phụ, ngoại; thứ thêm, phụ
extraordinary (adj) /iks'trɔ:dnri/	đặc biệt, lạ thường, khác thường
extreme (adj) (n) /iks'tri:m/	vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
extremely (adv) /iks´tri:mli/	vô cùng, cực độ
eye (n) /ai/	mắt
face (n) (v) /feis/	mặt, thể diện; đương đầu, đối phó, đối mặt
facility (n) /fəˈsɪlɪti/	điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact (n) /fækt/	việc, sự việc, sự kiện
factor (n) /'fæktə /	nhân tố
factory (n) /'fæktəri/	nhà máy, xí nghiệp, xưởng
fail (v) /feil/	sai, thất bại
failure (n) /ˈfeɪlyər/	sự thất bại, người thất bại
faint (adj) /feɪnt/	nhút nhát, yếu ớt
faintly (adv) /'feintli/	nhút nhát, yếu ớt
fair (adj) /feə/	hợp lý, công bằng; thuận lợi
fairly (adv) /'feəli/	hợp lý, công bằng
faith (n) /feiθ/	sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
faithful (adj) /'feiθful/	trung thành, chung thủy, trung thực
faithfully (adv) /'feiθfuli/	trung thành, chung thủy, trung thực
fall (v) (n) /fɔl/	rơi, ngã, sự rơi, ngã
fall asleep	ngủ thiếp đi
fall over	ngã lộn nhào, bị đổ
false (adj) /fo:ls/	sai, nhầm, giả dối
fame (n) /feim/	tên tuổi, danh tiếng
familiar (adj) /fəˈmiliər/	thân thiết, quen thộc
family (n) (adj) /ˈfæmili/	gia đình, thuộc gia đình
famous (adj) /'feiməs/	nổi tiếng
fan (n) /fæn/	người hâm mộ
fancy (v) (adj) /ˈfænsi/	tưởng tượng, cho, nghĩ rằng; tưởng tượng
far (adv)., (adj) /fɑ:/	xa
farm (n) /fa:m/	trang trại
farmer (n) /'fɑ:mə(r)/	nông dân, người chủ trại
farming (n) /'fɑ:miɳ/	công việc trồng trọt, đồng áng
fashion (n) /'fæ∫ən/	mốt, thời trang
fashionable (adj) /'fæʃnəbl/	đúng mốt, hợp thời trang
fast (adj) (adv) /fa:st/	nhanh
fasten (v) /'fɑ:sn/	buộc, trói
fat (adj) (n) /fæt/	béo, béo bở; mỡ, chất béo
father (n) /'fɑ:ðə/	cha (bố)
faucet (n) (NAmE) /ˈfɔsɪt/	vòi (ở thùng rượu....)
fault (n) /fɔ:lt/	sự thiết sót, sai sót
favour (BrE) (NAmE favor) (n) /'feivз/	thiện ý, sự quý mến; sự đồng ý; sự chiếu cố
favourite (NAmE favorite) (adj) (n) /'feivзrit/	được ưa thích; người (vật) được ưa thích
fear (n) (v) /fɪər/	sự sợ hãi, e sợ; sợ, lo ngại
feather (n) /'feðə/	lông chim
feature (n) (v) /'fi:tʃə/	nét đặt biệt, điểm đặc trưng; mô tả nét đặc biệt, đặc trưng của...
February (n) (abbr. Feb.) /´februəri/	tháng 2
federal (adj) /'fedərəl/	liên bang
fee (n) /fi:/	tiền thù lao, học phí
feed (v) /fid/	cho ăn, nuôi
feel (v) /fi:l/	cảm thấy
feel sick	(especially BrE) buồn nôn
feeling (n) /'fi:liɳ/	sự cảm thấy, cảm giác
fellow (n) /'felou/	anh chàng (đang yêu), đồng chí
female (adj) (n) /´fi:meil/	thuộc giống cái; giống cái
fence (n) /fens/	hàng rào
festival (n) /'festivəl/	lễ hội, đại hội liên hoan
fetch (v) /fetʃ/	tìm về, đem về; làm bực mình; làm say mê, quyến rũ
fever (n) /'fi:və/	cơn sốt, bệnh sốt
few (det.), (adj) (pronoun) /fju:/	ít,vài; một ít, một vài
field (n) /fi:ld/	cánh đồng, bãi chiến trường
fight (v) (n) /fait/	đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu
fighting (n) /´faitiη/	sự chiến đấu, sự đấu tranh
figure (n) (v) /figә(r)/	hình dáng, nhân vật; hình dung, miêu tả
file (n) /fail/	hồ sơ, tài liệu
fill (v) /fil/	làm đấy, lấp kín
film (n) (v) /film/	phim, được dựng thành phim
final (adj) (n) /'fainl/	cuối cùng, cuộc đấu chung kết
finally (adv) /´fainəli/	cuối cùng, sau cùng
finance (n) (v) /fɪˈnæns , ˈfaɪnæns/	tài chính; tài trợ, cấp vốn
financial (adj) /fai'næn∫l/	thuộc (tài chính)
find (v) /faind/	tìm, tìm thấy
find out sth	khám phá, tìm ra
fine (adj) /fain/	tốt, giỏi
finely (adv) /´fainli/	đẹp đẽ, tế nhị, cao thượng
finger (n) /'fiɳgə/	ngón tay
finish (v) (n)	kết thúc, hoàn thành; sự kết thúc, phần cuối
finished (adj) /ˈfɪnɪʃt/	hoàn tất, hoàn thành
fire (n) (v) /'faiə/	lửa; đốt cháy
firm (n)(adj) (adv) /'fə:m/	hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ
firmly (adv) /´fə:mli/	vững chắc, kiên quyết
first (det.), ordinal number, (adv)., (n) /fə:st/	thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
fish (n) (v) /fɪʃ/	cá, món cá; câu cá, bắt cá
fishing (n) /´fiʃiη/	sự câu cá, sự đánh cá
fit (v) (adj) /fit/	hợp, vừa; thích hợp, xứng đáng
fix (v) /fiks/	đóng, gắn, lắp; sửa chữa, sửa sang
fixed (adj)	đứng yên, bất động
flag (n) /'flæg/	quốc kỳ
flame (n) /fleim/	ngọn lửa
flash (v) (n) /flæ∫/	loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
flat (adj) (n) /flæt/	bằng phẳng, bẹt, nhẵn; dãy phòng, căn phòng, mặt phẳng
flavour (BrE) (NAmE flavor) (n) (v) /'fleivə/	vị, mùi; cho gia vị, làm tăng thêm mùi vị
flesh (n) /fle∫/	thịt
flight (n) /flait/	sự bỏ chạy, rút chạy; sự bay, chuyến bay
float (v) /floʊt/	nổi, trôi, lơ lửng
flood (n) (v) /flʌd/	lụt, lũ lụtl; tràn đầy, tràn ngập
floor (n) /flɔ:/	sàn, tầng (nhà)
flour (n) /´flauə/	bột, bột mỳ
flow (n) (v) /flow/	sự chảy; chảy
flower (n) /'flauə/	hoa, bông, đóa, cây hoa
flu (n) /flu:/	bệnh cúm
fly (v) (n) /flaɪ/	bay; sự bay, quãng đường bay
flying (adj) (n) /´flaiiη/	biết bay; sự bay, chuyến bay
focus (v) (n) /'foukəs/	tập trung; trung tâm, trọng tâm ((n)bóng)
fold (v) (n) /foʊld/	gấp, vén, xắn; nếp gấp
folding (adj) /´fouldiη/	gấp lại được
follow (v) /'fɔlou/	đi theo sau, theo, tiếp theo
following (adj) (n)(prep.) /´fɔlouiη/	tiếp theo, theo sau, sau đây; sau, tiếp theo
food (n) /fu:d/	đồ ăn, thức, món ăn
foot (n) /fut/	chân, bàn chân
football (n) /ˈfʊtˌbɔl/	bóng đá
for (prep.) /fɔ:,fə/	cho, dành cho...
for instance	ví dụ chẳng hạn
force (n) (v) /fɔ:s/	sức mạnh; ép buộc, cưỡng ép
forecast (n) (v) /fɔ:'kɑ:st/	sự dự đoán, dự báo; dự đoán, dự báo
foreign (adj) /'fɔrin/	(thuộc) nước ngoài, từ nước ngoài, ở nước ngoài
forest (n) /'forist/	rừng
forever (BrE also for ever) (adv) /fə'revə/	mãi mãi
forget (v) /fə'get/	quên
forgive (v) /fərˈgɪv/	tha, tha thứ
fork (n) /fɔrk/	cái nĩa
form (n) (v) /fɔ:m/	hình thể, hình dạng, hình thức; làm thành, được tạo thành
formal (adj) /fɔ:ml/	hình thức
formally (adv) /'fo:mзlaiz/	chính thức
former (adj) /´fɔ:mə/	trước, cũ, xưa, nguyên
formerly (adv) /´fɔ:məli/	trước đây, thuở xưa
formula (n) /'fɔ:mjulə/	công thức, thể thức, cách thức
fortune (n) /ˈfɔrtʃən/	sự giàu có, sự thịnh vượng
forward (adj) /ˈfɔrwərd/	ở phía trước, tiến về phía trước
forward (also forwards) (adv) /ˈfɔrwərd/	về tương lai, sau này ở phía trước, tiến về phía trước
found (v) /faund/	(q.k of find) tìm, tìm thấy
foundation (n) /faun'dei∫n/	sự thành lập, sự sáng lập; tổ chức
frame (n) (v) /freim/	cấu trúc, hệ thống; dàn xếp, bố trí
free (adj) (v) (adv) /fri:/	miễn phí, tự do, giải phóng, trả tự do
freedom (n) /'fri:dəm/	sự tự do; nền tự do
freely (adv) /´fri:li/	tự do, thoải mái
freeze (n) (v) /fri:z/	sự đông lạnh, sự giá lạnh; làm đông, làm đóng băng
freeze (v) /fri:z/	đóng băng, đông lạnh
frequent (adj) /ˈfrikwənt/	thường xuyên
frequently (adv) /´fri:kwəntli/	thường xuyên
fresh (adj) /freʃ/	tươi, tươi tắn
freshly (adv) /´freʃli/	tươi mát, khỏe khoắn
Friday (n) (abbr. Fri.) /´fraidi/	thứ Sáu
fridge (n) (BrE) /fridЗ/	tủ lạnh
friend (n) /frend/	người bạn
friendly (adj) /´frendli/	thân thiện, thân mật
friendship (n) /'frendʃipn/	tình bạn, tình hữu nghị
frighten (v) /ˈfraɪtn/	làm sợ, làm hoảng sợ
frightened (adj) /'fraitnd/	hoảng sợ, khiếp sợ
frightening (adj) /´fraiəniη/	kinh khủng, khủng khiếp
from (prep.) /frɔm/	frəm/; từ
front (n) (adj) /frʌnt/	mặt; đằng trước, về phía trước
frozen (adj) /frouzn/	lạnh giá
fruit (n) /fru:t/	quả, trái cây
fry (v) (n) /frai/	rán, chiên; thịt rán
fuel (n) /ˈfyuəl/	chất đốt, nhiên liệu
full (adj) /ful/	đầy, đầy đủ
fully (adv) /´fuli/	đầy đủ, hoàn toàn
fun (n) (adj) /fʌn/	sự vui đùa, sự vui thích; hài hước
function (n) (v) /ˈfʌŋkʃən/	chức năng; họat động, chạy (máy)
fund (n) (v) /fʌnd/	kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
fundamental (adj) /,fʌndə'mentl/	cơ bản, cơ sở, chủ yếu
funeral (n) /ˈfju:nərəl/	lễ tang, đám tang
funny (adj) /´fʌni/	buồn cười, khôi hài
fur (n) /fə:/	bộ da lông thú
furniture (n) /'fə:nitʃə/	đồ đạc (trong nhà)
further (adj) /'fə:ðə/	xa hơn nữa; thêm nữa
further, furthest	cấp so sánh của far
future (n) (adj) /'fju:tʃə/	tương lai
gain (v) (n) /geɪn/	lợi, lợi ích; giành được, kiếm được, đạt tới
gallon (n) /'gælən/	Galông 1gl = 4, 54 lít ở Anh, 3, 78 lít ở Mỹ
gamble (v) (n) /'gæmbl/	đánh bạc; cuộc đánh bạc
gambling (n) /'gæmbliɳ/	trò cờ bạc
game (n) /geim/	trò chơi
gap (n) /gæp/	đèo, lỗ hổng, kẽ hở; chỗ trống
garage (n) /´gæra:ʒ/	nhà để ô tô
garbage (n) (especially NAmE) /ˈgɑrbɪdʒ/	lòng, ruột (thú)
garden (n) /'gɑ:dn/	vườn
gas (n) /gæs/	khí, hơi đốt
gasoline (n) (NAmE) /gasolin/	dầu lửa, dầu hỏa, xăng
gate (n) /geit/	cổng
gather (v) /'gæðə/	tập hợp; hái, lượm, thu thập
gear (n) /giə/	cơ cấu, thiết bị, dụng cụ
general (adj) /'ʤenər(ə)l/	chung, chung chung; tổng
generally (adv) /'dʒenərəli/	nói chung, đại thể
generate (v) /'dʒenəreit/	sinh, đẻ ra
